subject,v_norm_mean,a_0_mean,w_s_eff_mean,t_0_mean,alpha_gain_mean,beta_val_mean,v_norm_std,a_0_std,w_s_eff_std,t_0_std,alpha_gain_std,beta_val_std,num_trials
114,0.8203418254852295,1.1884578466415405,0.6970483660697937,0.3056851625442505,0.7224111557006836,-0.0755680575966835,0.49560546875,0.2672390341758728,0.26818981766700745,0.109381765127182,0.15312078595161438,0.5302662253379822,288
115,0.8199425339698792,1.20371675491333,0.7012906670570374,0.30418944358825684,0.7283075451850891,-0.0147670553997159,0.4877241551876068,0.26963871717453003,0.27168360352516174,0.11023034900426865,0.15386325120925903,0.5181552171707153,288
116,0.7856297492980957,1.2085286378860474,0.6970222592353821,0.306034654378891,0.723157525062561,-0.040761686861515045,0.4821508526802063,0.2763836979866028,0.2697089910507202,0.11178869754076004,0.15136326849460602,0.5090514421463013,288
119,0.7820093035697937,1.2131319046020508,0.6883267164230347,0.2980209290981293,0.731009840965271,-0.04047056660056114,0.486538827419281,0.2721267640590668,0.25894618034362793,0.10977177321910858,0.15388768911361694,0.5104292631149292,252
122,0.7900587320327759,1.2100063562393188,0.6935633420944214,0.299958735704422,0.7227415442466736,-0.008719238452613354,0.49589312076568604,0.27029716968536377,0.26589009165763855,0.11146467179059982,0.1503213495016098,0.5128495693206787,288
123,0.805648684501648,1.2130637168884277,0.683725118637085,0.3030049800872803,0.7197840809822083,-0.039805617183446884,0.48659852147102356,0.2718506157398224,0.2656627297401428,0.11321064829826355,0.15291014313697815,0.5314550399780273,288
124,0.8038255572319031,1.190346121788025,0.7000783085823059,0.3002266585826874,0.7261165976524353,-0.023490555584430695,0.49589869379997253,0.2699698507785797,0.2720985412597656,0.11409812420606613,0.15426386892795563,0.5306917428970337,288
126,0.8060329556465149,1.2078686952590942,0.6941203474998474,0.30303215980529785,0.7200031876564026,-0.038289010524749756,0.5034071803092957,0.275623619556427,0.2623485028743744,0.11368388682603836,0.15378451347351074,0.5210976004600525,288
128,0.8118811845779419,1.2108495235443115,0.7026552557945251,0.30923137068748474,0.7168037295341492,-0.025036243721842766,0.5020893216133118,0.2695436477661133,0.26725849509239197,0.11437786370515823,0.15097665786743164,0.5173836350440979,288
129,0.8065387010574341,1.195465326309204,0.7036362886428833,0.30711114406585693,0.725664496421814,-0.03228775039315224,0.4932371973991394,0.2655017077922821,0.2691517472267151,0.11241677403450012,0.15375220775604248,0.5147064328193665,288
131,0.7868900895118713,1.19676673412323,0.7007986903190613,0.30385124683380127,0.7224384546279907,-0.0214056596159935,0.49968287348747253,0.2771362364292145,0.27194392681121826,0.11607935279607773,0.1546919345855713,0.5142596960067749,288
132,0.8059563636779785,1.1837422847747803,0.7081308960914612,0.30215758085250854,0.7365966439247131,-0.016202403232455254,0.5026547312736511,0.2610434889793396,0.26852259039878845,0.1086769551038742,0.1555112898349762,0.5383745431900024,288
133,0.8129545450210571,1.210537075996399,0.7161982655525208,0.3053979277610779,0.7231519818305969,-0.01580374501645565,0.5127664804458618,0.274173378944397,0.27102363109588623,0.11070877313613892,0.15331433713436127,0.5122652649879456,288
134,0.8095315098762512,1.2052615880966187,0.6891387104988098,0.3020766079425812,0.733066737651825,-0.03992072120308876,0.4981110394001007,0.2686481773853302,0.2669928967952728,0.11172877997159958,0.14990368485450745,0.5314063429832458,288
135,0.777216911315918,1.1984502077102661,0.6996273994445801,0.3062194585800171,0.7293177843093872,-0.021526524797081947,0.49406784772872925,0.2787421941757202,0.2700015604496002,0.1126316711306572,0.14722149074077606,0.518993616104126,288
136,0.8098321557044983,1.1854006052017212,0.6900302171707153,0.3055942952632904,0.7329517006874084,-0.044151436537504196,0.5014797449111938,0.27039387822151184,0.27007144689559937,0.11447611451148987,0.15515634417533875,0.5103017687797546,288
138,0.8022525310516357,1.1927086114883423,0.695130467414856,0.30877912044525146,0.7231916785240173,-0.035759907215833664,0.48978835344314575,0.268320232629776,0.2681678831577301,0.11371495574712753,0.15019294619560242,0.5330256223678589,288
141,0.7994803190231323,1.1867382526397705,0.6874265670776367,0.29800382256507874,0.7391535639762878,-0.005348032806068659,0.48891788721084595,0.2720980644226074,0.26454418897628784,0.11111878603696823,0.15441390872001648,0.5253546833992004,288
142,0.8042722344398499,1.200975775718689,0.7062186002731323,0.3033981919288635,0.7240818738937378,-0.012312897481024265,0.4923652410507202,0.2749949097633362,0.26994672417640686,0.1130734384059906,0.1495969593524933,0.5297843217849731,288
143,0.7943637371063232,1.2101647853851318,0.7039307355880737,0.30742377042770386,0.7239025831222534,-0.016855530440807343,0.4877578318119049,0.27096185088157654,0.2706424593925476,0.11242017894983292,0.1555008888244629,0.5064420700073242,288
144,0.7629350423812866,1.2074803113937378,0.7000638842582703,0.2993259131908417,0.7271295189857483,-0.03649206459522247,0.4743785858154297,0.27588945627212524,0.2663297951221466,0.11242806166410446,0.15228046476840973,0.5005720853805542,288
145,0.7879218459129333,1.2106250524520874,0.6913812756538391,0.3020689785480499,0.7207427024841309,-0.006011867430061102,0.4894072413444519,0.2795657813549042,0.2712751030921936,0.1158917024731636,0.15224860608577728,0.5108330249786377,288
146,0.7892026305198669,1.1827832460403442,0.6990308165550232,0.30658677220344543,0.7284430265426636,-0.016747944056987762,0.4735058844089508,0.25899553298950195,0.26945966482162476,0.1170538067817688,0.15327472984790802,0.5115777254104614,288
147,0.7990247011184692,1.20101797580719,0.6990875005722046,0.3036610186100006,0.721139669418335,-0.029163306578993797,0.48433399200439453,0.271554559469223,0.2700333893299103,0.11586634814739227,0.15031889081001282,0.5083731412887573,288
148,0.8143425583839417,1.2026052474975586,0.6952289938926697,0.30354052782058716,0.7162203192710876,-0.05706388130784035,0.4927988052368164,0.273712158203125,0.26934701204299927,0.11374208331108093,0.1521787941455841,0.510859489440918,288
149,0.7841553688049316,1.2022875547409058,0.6846888661384583,0.30178192257881165,0.7266875505447388,-0.014862973242998123,0.48551124334335327,0.27320343255996704,0.27170586585998535,0.11130104213953018,0.14838171005249023,0.5136096477508545,288
151,0.8035184144973755,1.2089611291885376,0.710984468460083,0.30393195152282715,0.7271631360054016,0.0209336057305336,0.48347988724708557,0.27761539816856384,0.2664651870727539,0.11304792016744614,0.15304745733737946,0.5180164575576782,288
154,0.8006961345672607,1.2135754823684692,0.7021214365959167,0.3017309010028839,0.7190753221511841,-0.004796928726136684,0.48919951915740967,0.2711828649044037,0.2666693925857544,0.1113530844449997,0.1523389369249344,0.5222119688987732,251
155,0.7697116732597351,1.2131751775741577,0.6986473202705383,0.30750608444213867,0.7241765260696411,-0.04976607859134674,0.47194337844848633,0.2859094440937042,0.26871562004089355,0.1142093688249588,0.1526319533586502,0.5229359269142151,288
156,0.7899652123451233,1.2030713558197021,0.716299831867218,0.30593568086624146,0.7279302477836609,-0.028677089139819145,0.47719117999076843,0.27656444907188416,0.27088844776153564,0.11484357714653015,0.15453912317752838,0.5122230648994446,288
159,0.805402934551239,1.2189843654632568,0.6774968504905701,0.30461111664772034,0.7228270769119263,-0.05448906868696213,0.4902069568634033,0.27468279004096985,0.26030433177948,0.11342652142047882,0.15292595326900482,0.520465612411499,254
160,0.7907754778862,1.1927202939987183,0.7134876251220703,0.2995682954788208,0.72257399559021,-0.024502404034137726,0.505273699760437,0.2759883999824524,0.2718382477760315,0.11185650527477264,0.15258005261421204,0.5351263880729675,288
162,0.8011090755462646,1.2075612545013428,0.7225162386894226,0.30388349294662476,0.7196506261825562,-0.004842876456677914,0.484856516122818,0.2655678391456604,0.2691340148448944,0.11347992718219757,0.15535232424736023,0.5172712206840515,288
164,0.8084428310394287,1.2023274898529053,0.7056260704994202,0.31108173727989197,0.7286155819892883,-0.05135983228683472,0.5138381719589233,0.2735292911529541,0.2705213129520416,0.11420011520385742,0.15658152103424072,0.5311861038208008,288
165,0.7896716594696045,1.2089630365371704,0.7061746120452881,0.312034547328949,0.7250809073448181,-0.008628124371170998,0.5047369003295898,0.2764585018157959,0.27047833800315857,0.115700863301754,0.1555289775133133,0.5149670839309692,288
166,0.8128585815429688,1.2129595279693604,0.6994783878326416,0.3100235164165497,0.720004141330719,0.030675573274493217,0.4996853470802307,0.27913084626197815,0.2678135931491852,0.1110648661851883,0.15251097083091736,0.5173143148422241,288
167,0.7842733263969421,1.1929256916046143,0.6938303112983704,0.30633610486984253,0.7285534739494324,-0.053707052022218704,0.4827006757259369,0.274032324552536,0.26201799511909485,0.1147627905011177,0.152424618601799,0.5191265940666199,288
168,0.7775126099586487,1.2144330739974976,0.686294674873352,0.30837738513946533,0.7238216996192932,-0.045212116092443466,0.4925270080566406,0.2779199779033661,0.2659221589565277,0.11027038097381592,0.15493670105934143,0.5230365991592407,288
169,0.8062442541122437,1.2253614664077759,0.7090383768081665,0.3124217092990875,0.7305892109870911,-0.0011660137679427862,0.48617681860923767,0.2767193019390106,0.2717269957065582,0.1119968518614769,0.1535254716873169,0.5155836939811707,288
170,0.8099134564399719,1.1877312660217285,0.6873735189437866,0.3018539547920227,0.7362827062606812,-0.047200631350278854,0.498455286026001,0.2748853862285614,0.26983779668807983,0.1131947711110115,0.15455086529254913,0.5202099680900574,288
171,0.7844694256782532,1.1978713274002075,0.6996159553527832,0.30059778690338135,0.7245759963989258,0.013591986149549484,0.48668983578681946,0.27452388405799866,0.2679261565208435,0.11104616522789001,0.15384577214717865,0.5330535173416138,250
173,0.8171548843383789,1.2028676271438599,0.6950042247772217,0.3041594624519348,0.7218574285507202,-0.03575398400425911,0.503715991973877,0.2690220773220062,0.2684510052204132,0.11061534285545349,0.15274980664253235,0.5297080278396606,288
174,0.7959718108177185,1.20976722240448,0.6889916062355042,0.3096277713775635,0.722892701625824,-0.04073449969291687,0.4863532483577728,0.2768963575363159,0.2691170275211334,0.10976339876651764,0.15550583600997925,0.5156915783882141,288
175,0.8050416111946106,1.1952192783355713,0.7025182247161865,0.3035210967063904,0.7235584855079651,-0.02580183558166027,0.490649551153183,0.27630043029785156,0.27581968903541565,0.11516925692558289,0.1508132368326187,0.53737872838974,288
178,0.8017910718917847,1.2188576459884644,0.7069127559661865,0.29586663842201233,0.7187513709068298,-0.02566118724644184,0.5069229602813721,0.27135422825813293,0.2663813829421997,0.11059343814849854,0.15244896709918976,0.5086026787757874,288
